Timer,Station,Code Station,Coord,commune,groupe24,groupe44,groupe64,groupe99
2022-11-15 20:02:48,Boissière - Etienne Dolet,31102,"[48.876111, 2.4677312]",Montreuil,235,783,1651,3941
2022-11-15 20:02:48,Chabanais - Petits Champs,2111,"[48.86703740186721, 2.336716018617153]",Paris,251,856,1821,4401
2022-11-15 20:02:48,Bertie Albrecht - Hoche,8054,"[48.87614039826388, 2.301303138307601]",Paris,224,764,1623,3897
2022-11-15 20:02:48,Cevennes - Bergers,15109,"[48.84240765130395, 2.281037718057633]",Paris,343,1113,2387,5673
2022-11-15 20:02:48,Marcadet - Barbès,18022,"[48.89045112096476, 2.349057392968696]",Paris,179,637,1311,3216
2022-11-15 20:02:48,Saint Lambert - Blomet,15133,"[48.83659148147257, 2.2930556908249855]",Paris,344,1203,2517,5973
2022-11-15 20:02:48,Place Robert Guillemard,15110,"[48.836191728066666, 2.2811267160086417]",Paris,343,1201,2515,6069
2022-11-15 20:02:48,François Debergue - Croix de Chavaux,31008,"[48.857421708072074, 2.437578141689301]",Montreuil,305,1000,2094,4923
2022-11-15 20:02:48,Nationale - Place Jules Guesde,21015,"[48.82753962462998, 2.2416052222251897]",Boulogne-Billancourt,364,1284,2701,6455
2022-11-15 20:02:48,Lakanal - Commerce,15034,"[48.84442462786544, 2.294059172272682]",Paris,320,1115,2326,5578
2022-11-15 20:02:48,Carnot - Pâquerettes,41404,"[48.79592939432515, 2.4261841177940373]",Alfortville,472,1614,3436,8187
2022-11-15 20:02:48,Karl Marx,48010,"[48.784527937293184, 2.3646667979455587]",Villejuif,516,1739,3682,8764
2022-11-15 20:02:48,Raspail - Manufacture des Oeillets,42021,"[48.8094458, 2.3903009]",Ivry-sur-Seine,446,1478,3110,7484
2022-11-15 20:02:48,Oberkampf - République,11030,"[48.865316087070475, 2.3761147849099955]",Paris,277,904,1892,4510
2022-11-15 20:02:48,Cossonnerie - Sébastopol,1119,"[48.86132665908402, 2.349419631063938]",Paris,275,945,1951,4701
2022-11-15 20:02:48,Marcelle - Thalie,35020,"[48.8835462, 2.4137883]",Pantin,207,733,1514,3629
2022-11-15 20:02:48,Henri Ste-Claire Déville - Paul Héroult,25003,"[48.892663, 2.172411]",Rueil-Malmaison,168,572,1281,3070
2022-11-15 20:02:48,Louis Lumière - Porte de Bagnolet,20115,"[48.86431136000005, 2.4105210229754443]",Paris,279,908,1898,4619
2022-11-15 20:02:48,Paris - Emile Zola,31003,"[48.854898095789295, 2.4186685681343083]",Montreuil,304,997,2155,5116
2022-11-15 20:02:48,Victoire - Chaussée d'Antin,9116,"[48.875065791004396, 2.3316738009452824]",Paris,226,767,1692,4004
2022-11-15 20:02:48,Général De Gaulle - Alouette,41601,"[48.839109, 2.4175664]",Saint-Mandé,352,1173,2475,5907
2022-11-15 20:02:48,Rochechouart lamartine,9010,"[48.876719895109, 2.344393021853951]",Paris,227,769,1630,3908
2022-11-15 20:02:48,Joseph Liouville - Croix Nivert,15021,"[48.844835471244416, 2.297508493065834]",Paris,320,1115,2326,5579
2022-11-15 20:02:48,Mairie du 11ème,11024,"[48.858925, 2.3789759]",Paris,277,949,2020,4907
2022-11-15 20:02:48,Beffroy,22003,"[48.886591074487995, 2.261394560337067]",Neuilly-sur-Seine,198,671,1424,3391
2022-11-15 20:02:48,Abbé Carton - Plantes,14110,"[48.827673823165846, 2.320918142795563]",Paris,370,1294,2714,6476
2022-11-15 20:02:48,Gare RER de Vincennes,43005,"[48.847563015126106, 2.433383166790009]",Vincennes,329,1087,2285,5516
2022-11-15 20:02:48,Hoche - Tilsitt,8057,"[48.874836457837, 2.2971323132515]",Paris,224,807,1686,3994
2022-11-15 20:02:48,Villette - Belleville,19032,"[48.8726877314, 2.376461327076]",Paris,253,816,1700,4115
2022-11-15 20:02:48,Marché Secrétan,19022,"[48.88125496379482, 2.373463287949562]",Paris,229,728,1571,3718
2022-11-15 20:02:48,Larmeroux - Baudelaire,21701,"[48.816939911292, 2.2809894804846]",Vanves,415,1377,2963,7059
2022-11-15 20:02:48,Lieutenant Chauré - Etienne Marey,20134,"[48.86746195408435, 2.405970990657807]",Paris,255,864,1833,4419
2022-11-15 20:02:48,Charles de Gaulle - Sablonville,22016,"[48.87991924860035, 2.2763770446181297]",Neuilly-sur-Seine,223,717,1555,3692
2022-11-15 20:02:48,Chemin Vert - Fraternité,32302,"[48.877141208359035, 2.4461565166711807]",Romainville,234,781,1648,3935
2022-11-15 20:02:48,Marseille - Beaurepaire,10014,"[48.871624306962985, 2.3639265082738348]",Paris,252,815,1762,4210
2022-11-15 20:02:48,Saint-Germain - Thenard,5123,"[48.850571, 2.3471015]",Paris,299,1033,2207,5295
2022-11-15 20:02:48,Mairie d'Ivry-sur-Seine,42010,"[48.81057120969284, 2.3842826485633855]",Ivry-sur-Seine,446,1477,3109,7384
2022-11-15 20:02:48,Saint-Vincent - Verdun,21301,"[48.819211549234495, 2.254007756710053]",Issy-les-Moulineaux,389,1374,2895,6953
2022-11-15 20:02:48,Victoria - Place du Chatelet,1002,"[48.857992591527, 2.3469167947769]",Paris,299,989,2079,4899
2022-11-15 20:02:48,Square d'Anvers,9005,"[48.882633484311, 2.3448844062122]",Paris,203,725,1502,3611
2022-11-15 20:02:48,Volontaire - Lecourbe,15013,"[48.8435137879902, 2.3065522313117985]",Paris,321,1116,2328,5680
2022-11-15 20:02:48,Laumière - Petit,19013,"[48.88467368538326, 2.380039058625698]",Paris,205,685,1444,3521
2022-11-15 20:02:48,Marignan - Champs-Elysées,8013,"[48.869495661232, 2.3066138139003]",Paris,249,852,1816,4294
2022-11-15 20:02:48,Place de la Porte de Paris,32016,"[48.93009363207303, 2.3564037680625916]",Saint-Denis,60,242,480,1139
2022-11-15 20:02:48,Place Amédée Gordini - Lefebvre,15201,"[48.83061737745, 2.2920634208276]",Paris,368,1246,2645,6270
2022-11-15 20:02:48,Hôtel de Ville de Nanterre,92008,"[48.892371898250424, 2.205548956990242]",Nanterre,170,576,1286,3079
2022-11-15 20:02:48,Victor Hugo - Ecoles,41402,"[48.80476007936134, 2.4180373930262093]",Alfortville,448,1525,3243,7690
2022-11-15 20:02:48,Hôpital Bégin,43003,"[48.84571672113014, 2.4272462725639348]",Vincennes,328,1086,2348,5613
2022-11-15 20:02:48,Charonne - Faubourg Saint-Antoine,11004,"[48.852191909696, 2.3740932717919]",Paris,301,1036,2147,5203
2022-11-15 20:02:48,Jules Ferry - Faubourg du Temple Paris,11036,"[48.868397, 2.3678933]",Paris,253,859,1826,4409
2022-11-15 20:02:48,Charenton - Diderot,12009,"[48.846171461187, 2.3793068155646]",Paris,325,1081,2340,5501
2022-11-15 20:02:48,Place de l'Édit de Nantes,19125,"[48.88879, 2.3785]",Paris,205,641,1380,3323
2022-11-15 20:02:48,Tristan Tzara -  Tchaïkovski,18201,"[48.89490221746837, 2.3648490384221077]",Paris,180,595,1250,2923
